account_id,transaction_type,transaction_amount,transaction_date
189,Debit,4022.03,2024-10-01 10:11:39.037889
84,Debit,66.61,2024-10-30 10:11:39.037889
138,Debit,916.25,2024-10-17 10:11:39.037889
37,Debit,4429.21,2024-10-28 10:11:39.037889
29,Debit,3341.55,2024-11-03 10:11:39.037889
72,Debit,4401.63,2024-10-01 10:11:39.037889
63,Debit,365.59,2024-09-30 10:11:39.037889
23,Debit,712.41,2024-09-29 10:11:39.037889
134,Debit,3256.69,2024-10-07 10:11:39.037889
164,Debit,253.07,2024-09-15 10:11:39.037889
50,Debit,3414.68,2024-09-30 10:11:39.037889
140,Debit,890.66,2024-11-01 10:11:39.037889
14,Debit,864.75,2024-11-02 10:11:39.037889
166,Debit,2118.19,2024-09-23 10:11:39.037889
54,Debit,1041.69,2024-10-17 10:11:39.037889
195,Debit,3550.59,2024-11-03 10:11:39.037889
48,Debit,3696.55,2024-10-18 10:11:39.037889
89,Debit,1645.38,2024-10-03 10:11:39.037889
17,Debit,2226.02,2024-09-10 10:11:39.037889
176,Debit,613.81,2024-10-18 10:11:39.037889
15,Debit,2756.99,2024-09-15 10:11:39.037889
44,Debit,4903.62,2024-10-21 10:11:39.037889
119,Debit,4216.26,2024-09-18 10:11:39.037889
22,Debit,4171.32,2024-10-18 10:11:39.037889
179,Debit,658.32,2024-09-08 10:11:39.037889
115,Debit,4671.19,2024-09-16 10:11:39.037889
45,Debit,2948.08,2024-10-09 10:11:39.037889
51,Debit,4112.66,2024-10-08 10:11:39.037889
74,Debit,2555.53,2024-09-21 10:11:39.037889
162,Debit,2686.31,2024-09-23 10:11:39.037889
188,Debit,118.72,2024-09-12 10:11:39.037889
64,Debit,3566.83,2024-10-10 10:11:39.037889
76,Debit,2657.65,2024-10-26 10:11:39.037889
93,Debit,2206.74,2024-11-03 10:11:39.037889
113,Debit,135.64,2024-09-15 10:11:39.037889
98,Debit,2350.16,2024-09-06 10:11:39.037889
95,Debit,1499.47,2024-09-08 10:11:39.037889
79,Debit,2217.91,2024-09-20 10:11:39.037889
178,Debit,4153.52,2024-09-05 10:11:39.037889
16,Debit,43.38,2024-09-30 10:11:39.037889
25,Debit,1502.53,2024-10-02 10:11:39.037889
12,Debit,3330.02,2024-09-23 10:11:39.037889
80,Debit,308.33,2024-10-24 10:11:39.037889
59,Debit,3808.29,2024-09-06 10:11:39.037889
116,Debit,4558.16,2024-10-20 10:11:39.037889
25,Debit,878.63,2024-10-01 10:11:39.037889
137,Debit,4371.24,2024-09-19 10:11:39.037889
57,Debit,3557.22,2024-09-11 10:11:39.037889
178,Debit,1961.41,2024-11-03 10:11:39.037889
51,Debit,3473.32,2024-10-01 10:11:39.037889
42,Debit,2148.13,2024-09-09 10:11:39.037889
140,Debit,988.93,2024-09-29 10:11:39.037889
30,Debit,349.64,2024-10-26 10:11:39.037889
104,Debit,531.53,2024-10-30 10:11:39.037889
97,Debit,3404.76,2024-10-04 10:11:39.037889
21,Debit,4355.59,2024-11-02 10:11:39.037889
149,Debit,4030.68,2024-10-19 10:11:39.037889
23,Debit,3164.04,2024-10-18 10:11:39.037889
1,Debit,4666.77,2024-10-19 10:11:39.037889
91,Debit,2200.77,2024-10-19 10:11:39.037889
98,Debit,527.51,2024-09-07 10:11:39.037889
98,Debit,43.35,2024-09-27 10:11:39.037889
198,Debit,2360.45,2024-09-20 10:11:39.037889
175,Debit,2272.36,2024-10-13 10:11:39.037889
158,Debit,3936.25,2024-10-22 10:11:39.037889
110,Debit,3213.35,2024-10-12 10:11:39.037889
25,Debit,2315.41,2024-09-28 10:11:39.037889
61,Debit,2137.49,2024-10-14 10:11:39.037889
13,Debit,1880.84,2024-09-19 10:11:39.037889
175,Debit,4360.9,2024-10-15 10:11:39.037889
53,Debit,4038.56,2024-10-21 10:11:39.037889
56,Debit,712.24,2024-09-13 10:11:39.037889
49,Debit,380.2,2024-10-27 10:11:39.037889
101,Debit,2762.45,2024-09-28 10:11:39.037889
13,Debit,3793.06,2024-09-29 10:11:39.037889
196,Debit,4572.61,2024-09-27 10:11:39.037889
52,Debit,4957.41,2024-09-20 10:11:39.037889
138,Debit,2180.64,2024-10-10 10:11:39.037889
31,Debit,4546.1,2024-10-13 10:11:39.037889
110,Debit,4479.24,2024-10-05 10:11:39.037889
18,Debit,2974.3,2024-09-16 10:11:39.037889
85,Debit,4142.46,2024-09-24 10:11:39.037889
100,Debit,851.93,2024-10-22 10:11:39.037889
67,Debit,196.35,2024-10-04 10:11:39.037889
176,Debit,4757.69,2024-10-25 10:11:39.037889
35,Debit,1923.07,2024-10-20 10:11:39.037889
160,Debit,1507.59,2024-10-28 10:11:39.037889
167,Debit,1975.82,2024-09-13 10:11:39.037889
44,Debit,1355.35,2024-10-08 10:11:39.037889
18,Debit,2421.96,2024-10-30 10:11:39.037889
93,Debit,4689.76,2024-10-17 10:11:39.037889
175,Debit,3167.94,2024-09-29 10:11:39.037889
4,Debit,3926.81,2024-09-29 10:11:39.037889
103,Debit,3620.12,2024-10-18 10:11:39.037889
70,Debit,4043.04,2024-10-25 10:11:39.037889
147,Debit,946.94,2024-09-07 10:11:39.037889
31,Debit,2684.48,2024-09-15 10:11:39.037889
45,Debit,25.75,2024-09-12 10:11:39.037889
159,Debit,1431.58,2024-09-24 10:11:39.037889
159,Debit,2277.41,2024-10-31 10:11:39.037889
189,Debit,2801.7,2024-09-19 10:11:39.037889
118,Debit,4629.94,2024-10-16 10:11:39.037889
181,Debit,1461.28,2024-10-06 10:11:39.037889
138,Debit,130.61,2024-10-03 10:11:39.037889
78,Debit,2973.64,2024-10-22 10:11:39.037889
96,Debit,3097.37,2024-09-05 10:11:39.037889
170,Debit,4839.43,2024-09-16 10:11:39.037889
56,Debit,4451.85,2024-09-30 10:11:39.037889
21,Debit,1066.47,2024-10-16 10:11:39.037889
138,Debit,2388.2,2024-09-16 10:11:39.037889
3,Debit,2161.79,2024-10-04 10:11:39.037889
185,Debit,4059.28,2024-10-25 10:11:39.037889
187,Debit,958.41,2024-09-26 10:11:39.037889
151,Debit,475.13,2024-09-18 10:11:39.037889
70,Debit,3447.27,2024-09-17 10:11:39.037889
75,Debit,4533.92,2024-10-10 10:11:39.037889
73,Debit,2092.03,2024-10-21 10:11:39.037889
51,Debit,2816.14,2024-09-12 10:11:39.037889
24,Debit,2117.46,2024-10-09 10:11:39.037889
163,Debit,2715.15,2024-10-02 10:11:39.037889
28,Debit,1334.31,2024-09-10 10:11:39.037889
66,Debit,2209.65,2024-10-18 10:11:39.037889
187,Debit,4406.16,2024-09-17 10:11:39.037889
60,Debit,1770.9,2024-09-28 10:11:39.037889
118,Debit,1876.56,2024-10-25 10:11:39.037889
67,Debit,3813.53,2024-09-20 10:11:39.037889
19,Debit,1299.64,2024-10-18 10:11:39.037889
22,Debit,2626.75,2024-10-25 10:11:39.037889
30,Debit,2905.44,2024-09-08 10:11:39.037889
92,Debit,72.11,2024-09-14 10:11:39.037889
42,Debit,4578.58,2024-09-26 10:11:39.037889
196,Debit,3766.13,2024-10-26 10:11:39.037889
137,Debit,798.79,2024-10-23 10:11:39.037889
109,Debit,3644.77,2024-09-08 10:11:39.037889
69,Debit,1431.6,2024-09-10 10:11:39.037889
115,Debit,2175.8,2024-09-28 10:11:39.037889
2,Debit,3548.96,2024-10-06 10:11:39.037889
18,Debit,827.54,2024-09-28 10:11:39.037889
160,Debit,877.96,2024-10-26 10:11:39.037889
179,Debit,1880.24,2024-10-07 10:11:39.037889
102,Debit,3142.97,2024-10-14 10:11:39.037889
200,Debit,3731.74,2024-09-08 10:11:39.037889
61,Debit,3118.22,2024-10-25 10:11:39.037889
119,Debit,763.23,2024-09-21 10:11:39.037889
63,Debit,4481.42,2024-10-12 10:11:39.037889
63,Debit,2257.99,2024-10-16 10:11:39.037889
52,Debit,3563.89,2024-09-11 10:11:39.037889
193,Debit,1276.78,2024-09-17 10:11:39.037889
144,Debit,452.33,2024-09-08 10:11:39.037889
191,Debit,3494.52,2024-09-08 10:11:39.037889
166,Debit,4714.52,2024-10-09 10:11:39.037889
146,Debit,2563.22,2024-09-29 10:11:39.037889
27,Debit,3351.34,2024-10-14 10:11:39.037889
69,Debit,3362.98,2024-09-12 10:11:39.037889
83,Debit,2236.62,2024-10-21 10:11:39.037889
3,Debit,2035.61,2024-09-29 10:11:39.037889
146,Debit,59.66,2024-10-23 10:11:39.037889
146,Debit,835.66,2024-09-25 10:11:39.037889
178,Debit,3824.09,2024-11-01 10:11:39.037889
90,Debit,1958.1,2024-09-24 10:11:39.037889
81,Debit,1576.97,2024-09-30 10:11:39.037889
171,Debit,4987.83,2024-09-07 10:11:39.037889
78,Debit,973.83,2024-09-13 10:11:39.037889
94,Debit,2198.04,2024-10-26 10:11:39.037889
2,Debit,1519.07,2024-11-03 10:11:39.037889
82,Debit,2512.0,2024-10-30 10:11:39.037889
33,Debit,2489.66,2024-10-11 10:11:39.037889
154,Debit,1535.66,2024-09-28 10:11:39.037889
13,Debit,1737.02,2024-09-26 10:11:39.037889
181,Debit,2838.71,2024-10-23 10:11:39.037889
186,Debit,1356.67,2024-09-13 10:11:39.037889
184,Debit,2895.75,2024-10-27 10:11:39.037889
92,Debit,3341.77,2024-09-12 10:11:39.037889
114,Debit,37.94,2024-09-08 10:11:39.037889
140,Debit,3825.38,2024-10-20 10:11:39.037889
166,Debit,4849.76,2024-09-30 10:11:39.037889
115,Debit,1898.51,2024-10-13 10:11:39.037889
77,Debit,3835.68,2024-09-10 10:11:39.037889
152,Debit,1617.44,2024-09-20 10:11:39.037889
124,Debit,1758.19,2024-09-21 10:11:39.037889
142,Debit,2647.44,2024-09-13 10:11:39.037889
187,Debit,3574.57,2024-10-03 10:11:39.037889
9,Debit,1777.5,2024-10-29 10:11:39.037889
129,Debit,2869.76,2024-09-27 10:11:39.037889
38,Debit,3916.52,2024-10-22 10:11:39.037889
30,Debit,4436.86,2024-11-03 10:11:39.037889
148,Debit,1762.89,2024-10-12 10:11:39.037889
107,Debit,4666.0,2024-10-14 10:11:39.037889
106,Debit,4345.7,2024-10-20 10:11:39.037889
144,Debit,2687.78,2024-10-05 10:11:39.037889
47,Debit,1817.25,2024-09-06 10:11:39.037889
22,Debit,66.33,2024-09-23 10:11:39.037889
185,Debit,4380.64,2024-10-04 10:11:39.037889
22,Debit,4982.74,2024-10-24 10:11:39.037889
21,Debit,331.04,2024-09-14 10:11:39.037889
57,Debit,2920.42,2024-09-13 10:11:39.037889
119,Debit,1793.78,2024-10-21 10:11:39.037889
193,Debit,1442.88,2024-10-07 10:11:39.037889
158,Debit,2262.89,2024-09-17 10:11:39.037889
159,Debit,4237.52,2024-09-19 10:11:39.037889
20,Debit,429.47,2024-10-20 10:11:39.037889
190,Debit,2607.89,2024-10-25 10:11:39.037889
171,Debit,2859.05,2024-09-30 10:11:39.037889
163,Debit,4890.69,2024-10-12 10:11:39.037889
170,Debit,224.88,2024-10-31 10:11:39.037889
140,Debit,3512.51,2024-09-10 10:11:39.037889
119,Debit,3750.92,2024-09-11 10:11:39.037889
146,Debit,4233.28,2024-09-22 10:11:39.037889
91,Debit,586.05,2024-10-28 10:11:39.037889
3,Debit,361.51,2024-09-18 10:11:39.037889
128,Debit,2014.82,2024-10-29 10:11:39.037889
126,Debit,4009.56,2024-09-14 10:11:39.037889
29,Debit,2533.83,2024-10-18 10:11:39.037889
164,Debit,4500.5,2024-09-12 10:11:39.037889
193,Debit,3600.38,2024-09-11 10:11:39.037889
23,Debit,3318.99,2024-10-31 10:11:39.037889
194,Debit,791.97,2024-09-29 10:11:39.037889
19,Debit,2728.29,2024-10-09 10:11:39.037889
91,Debit,3071.82,2024-10-07 10:11:39.037889
98,Debit,2521.79,2024-10-09 10:11:39.037889
161,Debit,3268.33,2024-10-11 10:11:39.037889
74,Debit,112.71,2024-10-13 10:11:39.037889
35,Debit,4914.86,2024-09-30 10:11:39.037889
38,Debit,4662.49,2024-11-03 10:11:39.037889
38,Debit,4733.22,2024-10-22 10:11:39.037889
155,Debit,1588.97,2024-09-11 10:11:39.037889
133,Debit,1281.34,2024-11-01 10:11:39.037889
196,Debit,1141.56,2024-10-09 10:11:39.037889
55,Debit,894.01,2024-10-10 10:11:39.037889
168,Debit,2006.69,2024-11-01 10:11:39.037889
16,Debit,2325.78,2024-10-31 10:11:39.037889
90,Debit,2218.57,2024-09-18 10:11:39.037889
128,Debit,4930.03,2024-10-07 10:11:39.037889
63,Debit,3777.23,2024-10-10 10:11:39.037889
200,Debit,1772.7,2024-09-14 10:11:39.037889
126,Debit,1191.27,2024-10-20 10:11:39.037889
13,Debit,2935.55,2024-10-09 10:11:39.037889
174,Debit,3970.58,2024-10-03 10:11:39.037889
36,Debit,1486.9,2024-10-08 10:11:39.037889
22,Debit,4761.63,2024-10-25 10:11:39.037889
11,Debit,129.57,2024-10-04 10:11:39.037889
100,Debit,4173.2,2024-09-29 10:11:39.037889
129,Debit,1581.82,2024-10-18 10:11:39.037889
98,Debit,333.86,2024-11-02 10:11:39.037889
83,Debit,1804.76,2024-10-18 10:11:39.037889
128,Debit,3275.55,2024-10-11 10:11:39.037889
157,Debit,1858.0,2024-09-28 10:11:39.037889
195,Debit,4110.93,2024-10-04 10:11:39.037889
197,Debit,399.73,2024-10-30 10:11:39.037889
48,Debit,3426.31,2024-10-13 10:11:39.037889
24,Debit,2027.23,2024-09-25 10:11:39.037889
124,Debit,2259.1,2024-09-08 10:11:39.037889
153,Debit,4813.55,2024-10-13 10:11:39.037889
200,Debit,2623.79,2024-09-27 10:11:39.037889
16,Debit,73.12,2024-09-30 10:11:39.037889
185,Debit,2780.43,2024-09-21 10:11:39.037889
40,Debit,2245.84,2024-09-14 10:11:39.037889
155,Debit,1346.0,2024-10-29 10:11:39.037889
173,Debit,826.53,2024-09-23 10:11:39.037889
155,Debit,4273.01,2024-10-13 10:11:39.037889
180,Debit,2041.76,2024-10-07 10:11:39.037889
153,Debit,630.1,2024-09-18 10:11:39.037889
71,Debit,1692.77,2024-10-21 10:11:39.037889
99,Debit,1179.35,2024-10-22 10:11:39.037889
28,Debit,2380.38,2024-10-07 10:11:39.037889
160,Debit,3267.56,2024-09-27 10:11:39.037889
16,Debit,1558.14,2024-10-03 10:11:39.037889
55,Debit,4776.53,2024-10-14 10:11:39.037889
196,Debit,1225.33,2024-09-11 10:11:39.037889
183,Debit,2204.3,2024-11-03 10:11:39.037889
22,Debit,195.76,2024-10-31 10:11:39.037889
19,Debit,1882.89,2024-10-12 10:11:39.037889
145,Debit,3108.83,2024-10-15 10:11:39.037889
147,Debit,2519.83,2024-10-20 10:11:39.037889
158,Debit,2329.4,2024-09-10 10:11:39.037889
125,Debit,3145.64,2024-10-02 10:11:39.037889
6,Debit,4567.59,2024-09-27 10:11:39.037889
108,Debit,1408.64,2024-09-14 10:11:39.037889
52,Debit,1504.67,2024-10-02 10:11:39.037889
163,Debit,542.4,2024-10-31 10:11:39.037889
133,Debit,1801.15,2024-10-19 10:11:39.037889
57,Debit,2077.62,2024-09-13 10:11:39.037889
135,Debit,1924.9,2024-10-22 10:11:39.037889
144,Debit,4184.86,2024-10-29 10:11:39.037889
149,Debit,1778.58,2024-10-27 10:11:39.037889
115,Debit,602.66,2024-09-18 10:11:39.037889
129,Debit,117.06,2024-09-15 10:11:39.037889
163,Debit,2370.47,2024-10-12 10:11:39.037889
75,Debit,2530.43,2024-10-11 10:11:39.037889
57,Debit,959.17,2024-10-20 10:11:39.037889
137,Debit,1626.95,2024-09-16 10:11:39.037889
153,Debit,1249.89,2024-09-05 10:11:39.037889
137,Debit,2071.62,2024-10-29 10:11:39.037889
147,Debit,549.31,2024-09-22 10:11:39.037889
104,Debit,4269.1,2024-10-30 10:11:39.037889
111,Debit,2481.63,2024-09-05 10:11:39.037889
84,Debit,669.98,2024-09-25 10:11:39.037889
64,Debit,4844.9,2024-11-02 10:11:39.037889
99,Debit,667.77,2024-10-13 10:11:39.037889
115,Debit,286.59,2024-09-19 10:11:39.037889
155,Debit,1429.73,2024-10-01 10:11:39.037889
17,Debit,1363.65,2024-11-02 10:11:39.037889
106,Debit,2741.24,2024-09-20 10:11:39.037889
70,Debit,1049.83,2024-09-25 10:11:39.037889
20,Debit,2268.72,2024-09-28 10:11:39.037889
14,Debit,1916.6,2024-10-04 10:11:39.037889
62,Debit,3819.31,2024-10-25 10:11:39.037889
51,Debit,3445.59,2024-10-26 10:11:39.037889
65,Debit,2258.61,2024-09-09 10:11:39.037889
132,Debit,431.33,2024-10-18 10:11:39.037889
108,Debit,1351.41,2024-09-06 10:11:39.037889
37,Debit,3075.23,2024-10-26 10:11:39.037889
120,Debit,4875.36,2024-09-18 10:11:39.037889
64,Debit,3180.3,2024-09-16 10:11:39.037889
165,Debit,3818.24,2024-09-26 10:11:39.037889
170,Debit,3514.12,2024-10-24 10:11:39.037889
128,Debit,3048.67,2024-09-16 10:11:39.037889
7,Debit,4889.02,2024-11-02 10:11:39.037889
143,Debit,3206.02,2024-10-01 10:11:39.037889
110,Debit,2126.83,2024-10-01 10:11:39.037889
84,Debit,3471.75,2024-10-24 10:11:39.037889
28,Debit,3987.26,2024-11-03 10:11:39.037889
177,Debit,1061.22,2024-09-25 10:11:39.037889
149,Debit,407.87,2024-10-12 10:11:39.037889
61,Debit,4834.53,2024-09-18 10:11:39.037889
22,Debit,2254.58,2024-09-10 10:11:39.037889
57,Debit,3324.1,2024-09-10 10:11:39.037889
191,Debit,3341.27,2024-10-28 10:11:39.037889
33,Debit,552.31,2024-10-22 10:11:39.037889
101,Debit,4799.38,2024-09-24 10:11:39.037889
32,Debit,2973.79,2024-10-21 10:11:39.037889
76,Debit,1956.24,2024-09-06 10:11:39.037889
197,Debit,1277.08,2024-10-29 10:11:39.037889
102,Debit,1897.71,2024-10-19 10:11:39.037889
93,Debit,1479.04,2024-10-22 10:11:39.037889
47,Debit,4758.62,2024-10-24 10:11:39.037889
191,Debit,2017.83,2024-10-14 10:11:39.037889
47,Debit,2300.94,2024-09-16 10:11:39.037889
35,Debit,2054.81,2024-10-17 10:11:39.037889
26,Debit,1397.84,2024-10-12 10:11:39.037889
184,Debit,2155.81,2024-10-29 10:11:39.037889
103,Debit,270.55,2024-10-20 10:11:39.037889
146,Debit,4009.17,2024-09-15 10:11:39.037889
114,Debit,4168.02,2024-10-28 10:11:39.037889
158,Debit,3844.95,2024-09-24 10:11:39.037889
138,Debit,3949.74,2024-10-31 10:11:39.037889
163,Debit,2459.56,2024-10-20 10:11:39.037889
32,Debit,4683.21,2024-10-23 10:11:39.037889
132,Debit,263.11,2024-10-17 10:11:39.037889
31,Debit,2533.86,2024-11-02 10:11:39.037889
75,Debit,731.0,2024-09-16 10:11:39.037889
129,Debit,4217.42,2024-09-22 10:11:39.037889
161,Debit,4476.91,2024-10-29 10:11:39.037889
